
Nama Anggota,Fraksi,Komisi,Badan Kerja,education,career_history,policy_focus,assets_links,contacts,ind_influence,ind_trust,ind_network
,,,,,,,,,,,
Zulkarnaini Ampon Bang,FPG,Komisi VII,,,,,,,,,
Ilham Pangestu,FPG,Komisi IV,,,,,,,,,
Samsul Bahri Tiyong,FPG,Komisi XIII,,,,,,,,,
Musa Rajekshah,FPG,Komisi V,BKSAP,,,,,,,,
Maruli Siahaan,FPG,Komisi XIII,,,,,,,,,
Lamhot Sinaga,FPG,Komisi VII,Wakil Ketua Komisi ,,,,,,,,
Andar Amin Harahap,FPG,Komisi II,Baleg ,,,,,,,,
Trinovi Khairani,FPG,Komisi I,BKSAP,,,,,,,,
Ahmad Doli Kurnia,FPG,Komisi II,Baleg ,,,,,,,,
Delia Pratiwi Sitepu,FPG,Komisi IX,,,,,,,,,
Mangihut Sinaga,FPG,Komisi III,MKD,,,,,,,,
Zigo Rolanda,FPG,Komisi V,Banggar,,,,,,,,
Benny Utama,FPG,Komisi III,Bamus,,,,,,,,
Maharani,FPG,Komisi IX,Baleg,,,,,,,,
Karmila Sari,FPG,Komisi X,Baleg,,,,,,,,
Yulisman,FPG,Komisi XII,BAM,,,,,,,,
Cek Endra,FPG,Komisi XII,,,,,,,,,
Hasan Basri Agus,FPG,Komisi VIII,MKD,,,,,,,,
Kahar Muzakir,FPG,Komisi XI,,,,,,,,,
Yudha Novanza Utama,FPG,Komisi I,,,,,,,,,
Dewi Yustisiana,FPG,Komisi XII,Banggar,,,,,,,,
Derta Rohidin,FPG,Komisi VIII,,,,,,,,,
Rycko Menoza,FPG,Komisi VII,Baleg,,,,,,,,
Hanan A. Rozak,FPG,Komisi V,Bamus,,,,,,,,
Aprozi Alam,FPG,Komisi VIII,,,,,,,,,
Bambang Patijaya,FPG,Komisi XII,Ketua Komisi ,,,,,,,,
Rizki Faisal,FPG,Komisi III,,,,,,,,,
Abraham Sridjaja,FPG,Komisi I,BKSAP,,,,,,,,
Erwin Aksa,FPG,Komisi VIII,,,,,,,,,
Atalia Praratya,FPG,Komisi VIII,BURT,,,,,,,,
Nurul Arifin,FPG,Komisi I,Bamus-Banggar,,,,,,,,
Anang Susanto,FPG,Komisi II,,,,,,,,,
Dadang Naser,FPG,Komisi IV,,,,,,,,,
Ishfan Taufik Munggaran,FPG,Komisi XIII,,,,,,,,,
Ilham Permana,FPG,Komisi VII,Banggar,,,,,,,,
Dewi Asmara,FPG,Komisi XIII,Wakil Ketua Komisi ,,,,,,,,
Ravindra Airlangga,FPG,Komisi IX,BKSAP,,,,,,,,
Ranny Fahd,FPG,Komisi IX,Banggar,,,,,,,,
Puteri Komarudin,FPG,Komisi XI,Bamus-Banggar,,,,,,,,
Daniel Muttaqien,FPG,Komisi V,Baleg,,,,,,,,
Dave Akbarshah Fikarno Laksono,FPG,Komisi I,Wakil Ketua Komisi,,,,,,,,
Elita Budiati,FPG,Komisi I,Baleg,,,,,,,,
Galih Kartasasmita,FPG,Komisi XI,BKSAP,,,,,,,,
Agun Gunandjar Sudarsa,FPG,Komisi XIII,BAM,,,,,,,,
Ade Ginanjar,FPG,Komisi V,Bamus,,,,,,,,
Ferdiansyah,FPG,Komisi X,Baleg,,,,,,,,
Firnando Ganinduto,FPG,Komisi VI,Baleg,,,,,,,,
Andhika Satya Wasistho,FPG,Komisi VII,Baleg,,,,,,,,
Jamaludin Malik,FPG,Komisi XIII,Baleg,,,,,,,,
Firman Soebagyo,FPG,Komisi IV,Baleg,,,,,,,,
Juliyatmono,FPG,Komisi X,,,,,,,,,
Singgih Januratmoko,FPG,Komisi VIII,Wakil Ketua Komisi ,,,,,,,,
Panggah Susanto,FPG,Komisi IV,Wakil Ketua Komisi,,,,,,,,
Bambang Soesatyo,FPG,Komisi III,,,,,,,,,
Teti Rohatiningsih,FPG,Komisi IX,BURT,,,,,,,,
Agung Widyantoro,FPG,Komisi X,MKD,,,,,,,,
Ashraff Abu,FPG,Komisi X,,,,,,,,,
Doni Akbar,FPG,Komisi VI,Banggar,,,,,,,,
Gandung Pardiman,FPG,Komisi VII,,,,,,,,,
Adies Kadir,FPG,Komisi III,,,,,,,,,
Mukhamad Misbakhun,FPG,Komisi XI,Ketua Komisi,,,,,,,,
Zulfikar Arse Sadikin,FPG,Komisi II,Wakil Ketua Komisi,,,,,,,,
Nur Purnamasidi,FPG,Komisi X,Banggar,,,,,,,,
Ahmad Irawan,FPG,Komisi II,Baleg,,,,,,,,
Sarmuji,FPG,Komisi VI,Bamus,,,,,,,,
Heru Tjahjono,FPG,Komisi IX,BKSAP,,,,,,,,
Ali Mufthi,FPG,Komisi V,Banggar,,,,,,,,
Yahya Zaini,FPG,Komisi IX,Wakil Ketua Komisi,,,,,,,,
Haeny Relawati,FPG,Komisi VIII,Banggar,,,,,,,,
Eko Wahyudi,FPG,Komisi IV,BURT,,,,,,,,
Ahmad Labib,FPG,Komisi VI,Baleg,,,,,,,,
Eric Hermawan,FPG,Komisi XI,,,,,,,,,
Adde Rosi Khoerunnisa,FPG,Komisi X,BKSAP,,,,,,,,
TB Haerul Jaman,FPG,Komisi IX,Bamus-Banggar,,,,,,,,
Andi Achmad Dara,FPG,Komisi XI,BAKN,,,,,,,,
Mujakkir Zuhri,FPG,Komisi VII,,,,,,,,,
Gde Sumarjaya Linggih,FPG,Komisi VI,BAKN,,,,,,,,
Sari Yuliati,FPG,Komisi III,Bamus - Wakil Ketua Komisi,,,,,,,,
Melchias Markus Mekeng,FPG,Komisi XI,BAKN,,,,,,,,
Umbu Rudi Kabunang,FPG,Komisi XIII,Baleg,,,,,,,,
Gavriel Novanto,FPG,Komisi I,Baleg,,,,,,,,
Fransiscus Maria Agustinus Sibarani,FPG,Komisi XIII,,,,,,,,,
Adrianus Asia Sidot,FPG,Komisi IV,,,,,,,,,
Mukhtarudin,FPG,Komisi XII,Banggar-Bamus,,,,,,,,
Bambang Heri Purnama,FPG,Komisi I,,,,,,,,,
Sandi Fitrian Noor,FPG,Komisi VIII,,,,,,,,,
Rikwanto,FPG,Komisi III,BAM,,,,,,,,
Sarifah Suraidah,FPG,Komisi VI,Banggar,,,,,,,,
Hetifah Sjaifudian,FPG,Komisi X,Ketua Komisi ,,,,,,,,
Christiany Eugenia Paruntu,FPG,Komisi VI,Banggar,,,,,,,,
Muhidin M. Said,FPG,Komisi XI,Banggar,,,,,,,,
Beniyanto Tamoreka,FPG,Komisi XII,,,,,,,,,
Hamka B. Kady,FPG,Komisi V,Banggar,,,,,,,,
Nurdin Halid,FPG,Komisi VI,Wakil Ketua Komisi,,,,,,,,
Taufan Pawe,FPG,Komisi II,Banggar,,,,,,,,
Agustina Mangande,FPG ,Komisi II,,,,,,,,,
Ridwan Bae,FPG,Komisi V,Wakil Ketua Komisi,,,,,,,,
